;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2019;01. Centro;40 a 44 años;13.441;4;125;466;1.914;336;480;1.947;413;932;282;4.580;317;1.645;0;7.496;2;86;301;1.183;222;309;1.166;220;453;207;2.348;191;808;0;5.945;2;39;165;731;114;171;781;193;479;75;2.232;126;837;0
1 de enero de 2019;01. Centro;45 a 49 años;11.297;12;129;467;1.754;327;392;1.809;366;855;208;3.621;209;1.148;0;6.293;7;79;287;1.034;205;221;1.060;186;426;158;1.913;123;594;0;5.004;5;50;180;720;122;171;749;180;429;50;1.708;86;554;0
1 de enero de 2019;01. Centro;50 a 54 años;10.281;15;129;526;1.707;422;372;1.856;274;713;189;2.938;131;1.007;2;5.530;8;80;300;980;216;226;1.041;134;311;140;1.483;80;530;1;4.751;7;49;226;727;206;146;815;140;402;49;1.455;51;477;1
1 de enero de 2019;01. Centro;55 a 59 años;8.984;17;167;584;1.608;314;343;1.771;177;622;138;2.326;86;820;11;4.538;9;83;303;843;148;183;879;72;253;102;1.161;47;451;4;4.446;8;84;281;765;166;160;892;105;369;36;1.165;39;369;7
1 de enero de 2019;01. Centro;60 a 64 años;7.463;23;155;779;1.447;193;165;1.490;116;516;103;1.790;57;617;12;3.552;9;70;360;645;83;101;751;51;197;80;859;38;303;5;3.911;14;85;419;802;110;64;739;65;319;23;931;19;314;7
1 de enero de 2019;01. Centro;65 a 69 años;5.610;16;206;790;1.186;127;94;915;94;381;90;1.228;28;439;16;2.507;4;74;328;460;47;51;433;29;124;74;621;16;235;11;3.103;12;132;462;726;80;43;482;65;257;16;607;12;204;5
1 de enero de 2019;01. Centro;70 a 74 años;4.869;28;268;932;1.162;99;93;665;61;285;95;839;31;305;6;2.138;7;103;344;429;43;56;291;20;97;86;458;18;184;2;2.731;21;165;588;733;56;37;374;41;188;9;381;13;121;4
1 de enero de 2019;01. Centro;75 a 79 años;3.717;35;364;882;901;67;49;471;31;197;59;473;15;166;7;1.496;10;129;309;288;33;38;191;10;54;52;266;10;104;2;2.221;25;235;573;613;34;11;280;21;143;7;207;5;62;5
1 de enero de 2019;01. Centro;80 a 84 años;3.034;36;438;965;652;41;40;325;22;125;45;234;11;90;10;1.033;2;120;282;194;16;20;105;6;32;38;139;8;66;5;2.001;34;318;683;458;25;20;220;16;93;7;95;3;24;5
1 de enero de 2019;01. Centro;85 a 89 años;2.649;39;427;951;550;27;32;258;10;109;12;159;14;53;8;790;7;103;247;146;11;19;76;1;22;9;95;9;42;3;1.859;32;324;704;404;16;13;182;9;87;3;64;5;11;5
1 de enero de 2019;01. Centro;90 a 94 años;1.318;22;258;458;239;15;12;126;6;73;12;56;5;31;5;328;3;49;88;50;8;6;28;3;18;9;36;3;26;1;990;19;209;370;189;7;6;98;3;55;3;20;2;5;4
1 de enero de 2019;01. Centro;95 a 99 años;371;3;64;130;75;5;6;41;1;15;0;15;2;10;4;71;1;10;18;13;0;1;7;1;3;0;9;0;8;0;300;2;54;112;62;5;5;34;0;12;0;6;2;2;4
1 de enero de 2019;01. Centro;100 y más años;77;2;16;29;11;1;1;6;0;1;1;6;0;1;2;12;0;2;0;3;0;0;1;0;0;1;4;0;0;1;65;2;14;29;8;1;1;5;0;1;0;2;0;1;1
1 de enero de 2019;02. Arganzuela;Total;123.013;179;2.956;10.120;20.692;3.779;4.807;19.195;2.196;9.565;3.325;33.495;1.134;11.413;157;56.064;69;891;3.574;8.979;1.961;2.898;9.761;934;3.156;2.572;15.357;631;5.212;69;66.949;110;2.065;6.546;11.713;1.818;1.909;9.434;1.262;6.409;753;18.138;503;6.201;88
1 de enero de 2019;02. Arganzuela;25 a 29 años;9.664;24;90;195;1.081;311;382;1.728;109;283;96;3.933;72;1.357;3;4.571;17;61;103;592;183;230;952;51;97;56;1.608;34;584;3;5.093;7;29;92;489;128;152;776;58;186;40;2.325;38;773;0
1 de enero de 2019;02. Arganzuela;30 a 34 años;11.866;9;67;217;1.379;401;601;1.330;204;904;324;4.102;173;2.144;11;5.799;7;37;133;792;241;377;771;101;266;250;1.894;81;840;9;6.067;2;30;84;587;160;224;559;103;638;74;2.208;92;1.304;2
1 de enero de 2019;02. Arganzuela;35 a 39 años;13.365;4;41;247;1.584;353;529;1.783;280;1.130;482;4.748;245;1.938;1;6.671;1;20;149;913;217;333;1.072;153;373;350;2.116;143;831;0;6.694;3;21;98;671;136;196;711;127;757;132;2.632;102;1.107;1
1 de enero de 2019;02. Arganzuela;40 a 44 años;12.993;5;52;291;1.507;322;500;1.791;376;1.084;464;4.837;230;1.532;2;6.379;2;30;159;851;207;300;985;162;379;316;2.135;141;710;2;6.614;3;22;132;656;115;200;806;214;705;148;2.702;89;822;0
1 de enero de 2019;02. Arganzuela;45 a 49 años;11.746;6;40;296;1.652;361;565;1.745;339;1.031;434;4.079;133;1.065;0;5.694;2;20;144;835;213;332;938;152;370;293;1.856;56;483;0;6.052;4;20;152;817;148;233;807;187;661;141;2.223;77;582;0
1 de enero de 2019;02. Arganzuela;50 a 54 años;12.205;11;56;395;1.730;531;707;2.205;280;1.090;355;3.705;83;1.048;9;5.820;7;30;191;837;260;394;1.086;105;396;282;1.695;42;491;4;6.385;4;26;204;893;271;313;1.119;175;694;73;2.010;41;557;5
1 de enero de 2019;02. Arganzuela;55 a 59 años;11.432;10;82;547;1.978;494;512;2.322;183;1.014;290;2.998;57;927;18;5.174;5;34;260;910;194;265;1.093;56;309;244;1.318;36;439;11;6.258;5;48;287;1.068;300;247;1.229;127;705;46;1.680;21;488;7
1 de enero de 2019;02. Arganzuela;60 a 64 años;10.096;6;106;727;2.128;324;290;2.277;164;970;179;2.183;53;675;14;4.444;3;36;285;819;134;181;1.012;57;282;155;1.071;35;368;6;5.652;3;70;442;1.309;190;109;1.265;107;688;24;1.112;18;307;8
1 de enero de 2019;02. Arganzuela;65 a 69 años;8.142;16;166;1.005;2.081;221;257;1.601;113;738;227;1.330;37;335;15;3.574;6;57;392;659;86;166;769;41;250;188;727;25;200;8;4.568;10;109;613;1.422;135;91;832;72;488;39;603;12;135;7
1 de enero de 2019;02. Arganzuela;70 a 74 años;6.637;13;266;1.336;1.912;166;191;937;65;540;203;782;17;195;14;2.791;7;81;446;652;80;128;421;26;181;185;439;13;127;5;3.846;6;185;890;1.260;86;63;516;39;359;18;343;4;68;9
1 de enero de 2019;02. Arganzuela;75 a 79 años;4.906;17;370;1.227;1.390;117;133;595;36;354;129;391;16;115;16;1.984;4;110;366;461;56;100;294;15;119;121;243;11;78;6;2.922;13;260;861;929;61;33;301;21;235;8;148;5;37;10
1 de enero de 2019;02. Arganzuela;80 a 84 años;4.176;23;514;1.382;1.072;101;73;428;20;228;66;182;12;50;25;1.475;3;144;392;328;47;48;204;7;74;62;110;10;37;9;2.701;20;370;990;744;54;25;224;13;154;4;72;2;13;16
1 de enero de 2019;02. Arganzuela;85 a 89 años;3.449;20;583;1.286;775;54;48;290;19;126;51;153;4;23;17;1.103;4;132;362;220;31;30;115;6;37;48;93;3;18;4;2.346;16;451;924;555;23;18;175;13;89;3;60;1;5;13
1 de enero de 2019;02. Arganzuela;90 a 94 años;1.736;11;377;692;344;17;17;121;7;51;18;61;2;8;10;465;1;79;149;88;8;13;39;2;16;17;46;1;5;1;1.271;10;298;543;256;9;4;82;5;35;1;15;1;3;9
