;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2025;01. Centro;40 a 44 años;12.534;11;97;326;1.880;271;479;1.682;295;678;206;4.274;249;2.086;0;7.134;7;64;199;1.234;174;316;1.033;170;340;153;2.245;145;1.054;0;5.400;4;33;127;646;97;163;649;125;338;53;2.029;104;1.032;0
1 de enero de 2025;01. Centro;45 a 49 años;12.292;7;98;363;1.772;300;453;1.873;335;738;236;4.083;249;1.785;0;6.830;3;60;234;1.103;184;286;1.138;179;359;166;2.072;129;917;0;5.462;4;38;129;669;116;167;735;156;379;70;2.011;120;868;0
1 de enero de 2025;01. Centro;50 a 54 años;10.925;12;90;344;1.654;300;373;1.628;351;769;232;3.604;213;1.355;0;5.956;7;50;204;938;186;230;940;187;362;159;1.864;112;717;0;4.969;5;40;140;716;114;143;688;164;407;73;1.740;101;638;0
1 de enero de 2025;01. Centro;55 a 59 años;9.792;11;106;408;1.504;372;364;1.643;271;677;161;3.007;147;1.121;0;5.230;6;69;232;812;204;210;918;125;281;113;1.598;86;576;0;4.562;5;37;176;692;168;154;725;146;396;48;1.409;61;545;0
1 de enero de 2025;01. Centro;60 a 64 años;8.834;12;127;444;1.465;322;342;1.702;175;597;156;2.481;99;912;0;4.497;6;54;211;751;148;172;876;75;264;115;1.263;56;506;0;4.337;6;73;233;714;174;170;826;100;333;41;1.218;43;406;0
1 de enero de 2025;01. Centro;65 a 69 años;6.976;11;113;571;1.230;174;159;1.410;122;505;108;1.852;65;656;0;3.232;6;58;237;537;78;94;685;49;171;78;868;32;339;0;3.744;5;55;334;693;96;65;725;73;334;30;984;33;317;0
1 de enero de 2025;01. Centro;70 a 74 años;5.277;20;154;662;1.040;114;79;909;85;341;79;1.314;25;455;0;2.357;4;40;259;386;43;44;414;34;115;68;680;17;253;0;2.920;16;114;403;654;71;35;495;51;226;11;634;8;202;0
1 de enero de 2025;01. Centro;75 a 79 años;4.119;17;191;717;956;88;73;560;52;265;86;798;29;287;0;1.716;6;67;264;317;29;33;244;12;76;70;422;17;159;0;2.403;11;124;453;639;59;40;316;40;189;16;376;12;128;0
1 de enero de 2025;01. Centro;80 a 84 años;3.193;28;278;694;796;56;45;404;36;177;46;459;17;157;0;1.189;8;78;217;232;24;33;146;6;50;40;247;10;98;0;2.004;20;200;477;564;32;12;258;30;127;6;212;7;59;0
1 de enero de 2025;01. Centro;85 a 89 años;1.889;20;248;579;424;29;19;205;13;95;26;168;6;57;0;571;2;50;152;113;13;10;49;3;21;22;96;4;36;0;1.318;18;198;427;311;16;9;156;10;74;4;72;2;21;0
1 de enero de 2025;01. Centro;90 a 94 años;1.271;18;181;433;272;12;21;144;6;52;10;103;4;15;0;329;1;40;94;56;4;8;39;0;14;8;51;3;11;0;942;17;141;339;216;8;13;105;6;38;2;52;1;4;0
1 de enero de 2025;01. Centro;95 a 99 años;465;7;75;164;101;5;6;42;2;27;3;18;3;12;0;94;1;11;29;12;5;4;8;1;3;1;9;2;8;0;371;6;64;135;89;0;2;34;1;24;2;9;1;4;0
1 de enero de 2025;01. Centro;100 y más años;94;2;21;33;17;1;2;5;0;6;0;5;0;2;0;21;0;6;2;5;0;1;0;0;2;0;3;0;2;0;73;2;15;31;12;1;1;5;0;4;0;2;0;0;0
1 de enero de 2025;02. Arganzuela;Total;129.315;185;1.865;7.379;19.145;3.786;5.423;19.561;2.220;8.610;2.991;38.850;1.234;18.066;0;59.428;91;579;2.601;8.343;1.938;3.245;9.932;932;2.829;2.259;17.752;681;8.246;0;69.887;94;1.286;4.778;10.802;1.848;2.178;9.629;1.288;5.781;732;21.098;553;9.820;0
1 de enero de 2025;02. Arganzuela;25 a 29 años;11.440;51;32;122;1.159;287;517;2.105;103;142;52;4.473;111;2.286;0;5.427;41;22;77;656;164;305;1.188;52;57;23;1.826;58;958;0;6.013;10;10;45;503;123;212;917;51;85;29;2.647;53;1.328;0
1 de enero de 2025;02. Arganzuela;30 a 34 años;13.103;15;47;133;1.080;284;585;1.580;169;215;105;4.945;152;3.793;0;6.376;11;35;69;621;161;363;910;73;87;66;2.231;79;1.670;0;6.727;4;12;64;459;123;222;670;96;128;39;2.714;73;2.123;0
1 de enero de 2025;02. Arganzuela;35 a 39 años;11.968;8;55;158;1.178;341;614;1.191;176;634;223;4.307;140;2.943;0;5.887;8;33;92;638;199;383;680;84;194;160;2.062;65;1.289;0;6.081;0;22;66;540;142;231;511;92;440;63;2.245;75;1.654;0
1 de enero de 2025;02. Arganzuela;40 a 44 años;12.442;3;31;185;1.382;334;535;1.486;253;906;397;4.314;209;2.407;0;6.270;1;18;107;787;211;329;849;134;325;287;2.024;122;1.076;0;6.172;2;13;78;595;123;206;637;119;581;110;2.290;87;1.331;0
1 de enero de 2025;02. Arganzuela;45 a 49 años;12.088;6;24;208;1.369;314;478;1.585;324;922;408;4.474;213;1.763;0;5.939;3;12;109;725;197;294;860;158;313;281;2.023;121;843;0;6.149;3;12;99;644;117;184;725;166;609;127;2.451;92;920;0
