E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;;Euros/m2
;;;Usadas
2023;18. Villa de Vallecas;18. Villa de Vallecas;"2.590,81"
2023;19. Vicálvaro;19. Vicálvaro;"2.631,8"
2023;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.619,53"
2023;21. Barajas;21. Barajas;"3.534,86"
2024;Ciudad de Madrid;Ciudad de Madrid;"4.544,27"
2024;01. Centro;01. Centro;"6.279,87"
2024;02. Arganzuela;02. Arganzuela;"4.837,52"
2024;03. Retiro;03. Retiro;"6.274,77"
2024;04. Salamanca;04. Salamanca;"7.764,63"
2024;05. Chamartín;05. Chamartín;"6.385,6"
2024;06. Tetuán;06. Tetuán;"4.697,83"
2024;07. Chamberí;07. Chamberí;"7.095,43"
2024;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.388,6"
2024;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.938,41"
2024;10. Latina;10. Latina;"2.839,67"
2024;11. Carabanchel;11. Carabanchel;"2.720,33"
2024;12. Usera;12. Usera;"2.495,19"
2024;13. Puente de Vallecas;13. Puente de Vallecas;"2.439,69"
2024;14. Moratalaz;14. Moratalaz;"3.177,11"
2024;15. Ciudad Lineal;15. Ciudad Lineal;"3.886,63"
2024;16. Hortaleza;16. Hortaleza;"4.249,48"
2024;17. Villaverde;17. Villaverde;"2.111,54"
2024;18. Villa de Vallecas;18. Villa de Vallecas;"2.857,66"
2024;19. Vicálvaro;19. Vicálvaro;"2.810,05"
2024;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.944,24"
2024;21. Barajas;21. Barajas;"3.819,2"
2025;Ciudad de Madrid;Ciudad de Madrid;"5.333,59"
2025;01. Centro;01. Centro;"7.171,36"
2025;02. Arganzuela;02. Arganzuela;"5.648,69"
2025;03. Retiro;03. Retiro;"7.476,18"
2025;04. Salamanca;04. Salamanca;"9.391,19"
2025;05. Chamartín;05. Chamartín;"7.433,69"
2025;06. Tetuán;06. Tetuán;"5.519,8"
2025;07. Chamberí;07. Chamberí;"8.230,09"
2025;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"5.230,86"
2025;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"5.693,62"
2025;10. Latina;10. Latina;"3.487,92"
2025;11. Carabanchel;11. Carabanchel;"3.321,28"
2025;12. Usera;12. Usera;"3.173,82"
2025;13. Puente de Vallecas;13. Puente de Vallecas;"2.932,49"
2025;14. Moratalaz;14. Moratalaz;"4.010,06"
2025;15. Ciudad Lineal;15. Ciudad Lineal;"4.601,3"
2025;16. Hortaleza;16. Hortaleza;"5.073,77"
2025;17. Villaverde;17. Villaverde;"2.675,35"
2025;18. Villa de Vallecas;18. Villa de Vallecas;"3.152,92"
2025;19. Vicálvaro;19. Vicálvaro;"3.442,91"
2025;20. San Blas-Canillejas;20. San Blas-Canillejas;"3.572,95"
2025;21. Barajas;21. Barajas;"4.413,92"
;
;
Fuente: Colegio de Registradores de España
"Observaciones: Tasa de cobertura: La información recoge 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7%2024 y 2025(compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios. Para evitar ofrecer dar datos poco significativos, sólo se muestra el dato por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos"
